Hospital Names,Addresses,Category,Contact Info
Pinamalayan Community Hospital,"Address: Strong Republic Highway, Pinamalayan, Oriental Mindoro",Category: Level 1/Primary,Contact No.: (043) 284-3562
Abra de Ilog Municipal Hospital,"Address: Venturanza St., Poblacion, Abra de Ilog, Occidental Mindoro",Category: Level 1/Primary,Contact No.: 711-1157 / 0919-8463784
Borongan Doctors Hospital,"Address: Borongan, Eastern Samar",Category: Level 2/Secondary,Contact Number: (055) 560-9132
Immaculate Concepcion Clinic & Hospital,"Address: Guiuan, Eastern Samar",Category: Level 2/Secondary,Contact Number: 0917-857880
Baconawa Hospital,"Address: Rizal St. Llorente, Eastern Samar",Category: Level 1/Primary,Contact Number: (055) 573-1223
Domingo Casano Hospital,"Address: Dolores, Eastern Samar",Category: Level 1/Primary,Contact Number: none
Lubang District Hospital,"Address: Brgy. Tangal, Lubang, Occidental Mindoro",Category: Level 1/Primary,Contact No.: 043-6645017
Paluan Medicare Community Hospital,"Address: Paluan, Occidental Mindoro",Category: Level 1/Primary,Contact No.: 0927-3596580
Rizal Community Hospital,"Address: Sto. Niño, Rizal, Occidental Mindoro",Category: Level 1/Primary,
Casiguran District Hospital,"Address: Brgy. Marikit, Casiguran, Aurora, Philippines",Category: Level 1/Primary,Contact No.: 09192273651
Ma. Aurora Community Hospital,"Address: Maria Aurora, Aurora",Contact No.: 042-2094256,
San Sebastian District Hospital,"Address: Sitio Macambang, Buenavista, Sablayan, Occidental MindoroCategory: Level 2/Secondary",Contact No.: 0918-9068216,
Labrador Municipal Hospital,Address: Poblacion Labrador Pangasinan,Category:Level 1/Primary,Contact No.(075) 515 8852
Agpalo Hospital Guiuan Polymedic,"Address: Guiuan, Eastern Samar",Category: Level 1/Primary,Contact Number: (055) 271-2471
Our Lady Of Guadalupe Hospital,"Address: Gen. MacArthur, Eastern Samar",Category: Level 1/Primary,Contact Number: (055) 570-2016
Alcala Municipal Hospital,"Address: Centro, Alcala, Cagayan, Philippines 3507",Category: Level 1/Primary,Contact No.: none
Eastern Visayas Regional Medical Center,"Address: R. Magsaysay Blvd., Tacloban City",Category: Level 4/DOH Hospital,Contact Number: (053) 321-3129
Alfonso Ponce Enrile Memorial Dist. Hospital,"Address: Smart, Gonzaga, Cagayan, Philippines 3513",Category: Level 2/Secondary,Contact No.: none
Leyte Provincial Hospital,"Address: Candahug Palo, Leyte",Category: Level 2/Secondary,Contact Number: (053) 323-3054
Malasiqui Municipal Hospital,Address: Cabatling Municipal Hospital,Category:Level 1/Primary,Contact No.75-3635682/ 5365702 fax
"Arsenal ""Kalusugan"" Hospital","Address: Camp Gen. A. Luna, Lanao, Limay",Category: Level 2/Secondary,Contact No. 047-2444615; 244
Abuyog District Hospital,"Address: Abuyog, LeyteCategory: Level 2/Secondary",Contact Number: (053) 334-2217,
Manaoag Community Hospital,Address: Baritao Manaoag Pangasinan,Category:Level 1/Primary,Contact No.75-5194833 telefax
Western Leyte Provincial Hospital,"Address: Baybay, Leyte",Category: Level 2/Secondary,Contact Number: (053) 335-2250
Mapandan Municipal Hospital,Address: Poblacion Mapandan Pangasinan,Category:Level 1/Primary,Contact No.75-5055061
Aparri District Hospital,"Address: Maharlika Hiway, Toran, Aparri, Cagayan, Philippines 3515",Category: Level 2/Secondary,Contact No.: 8229952
Hilongos District Hospital,"Address: Hilongos, Leyte",Category: Level 2/Secondary,Contact Number: (053) 567-9452
Pozorrubio Community Hospital,Address: Talogtog Pozorrubio Pangasinan,Category:Level 1/Primary,Contact No.75-5667370
Clinica Gatchalian & Hospital,Address: Ormoc City,Category: Level 2/Secondary,Contact Number: (053) 255-2203
Ospa Farmer’s Medical Center,Address: Ormoc City,Category: Level 2/Secondary,Contact Number: (053) 255-3194
Umingan Medicare and Community Hospital,Address: Umingan Pangasinan,Category:Level 1/Primary,Contact No.75-5765033
Bayambang District Hospital,Address: Bayambang Pangasinan,Category:Level 2/Secondary,Contact No.75-5922958
Don Amadeo J. Perez Sr. Memorial General Hospital,Address: Dilan Paurido Urdaneta City Pangasinan,Category:Level 1/Primary,Contact No.75-5685114
Ormoc District Hospital,Address: Ormoc City,Category: Level 2/Secondary,Contact Number: (053) 255-2475
Dr. Manuel B. Veloso Memorial Hospital,"Address: Brgy. Mazawalo, Palompon, LeyteCategory: Level 2/Secondary",Contact Number: (053) 338-3380,
Eastern Pangasinan District Hospital,Address: Magallanes Tayug Pangasinan,Category:Level 2/Secondary,Contact No.75-5724339
Mangatarem District Hospital,Address: Casilagan Mangatarem Pangasinan,Category:Level 2/ Secondary,Contact No. 9023720
Baggao Medicare Community Hospital,"Address: Balite St. Zone 4 Centro, Baggao, Cagayan, Philippines 3506",Category: Level 1/Primary,Contact No.: none
Aparri Medicare Community Hospital,"Address: 136 Bangag, Aparri, Cagayan",Category: Level 1/Primary,Contact No.: none
Northwestern Leyte District Hospital,"Address: Calubian, LeyteCategory: Level 1/Primary",Contact Number: (053) 549-2280,
Carigara District Hospital,"Address: Carigara, LeyteCategory: Level 1/Primary",Contact Number: (053) 331-2431,
Burauen District Hospital,"Address: Burauen, LeyteCategory: Level 2/Secondary",Contact Number: (053) 332-2705,
Sta. Cruz Community Hospital,"Address: Poblacion II, Sta. Cruz, Occidental Mindoro",Category: Level 1/Primary,Contact No.: 711-1168
Tabango Community Hospital,"Address: Tabango, Leyte",Category: Level 1/Primary,Contact Number: (053) 551-9458
Sta. Cruz District Hospital,"Address: Brgy. Lapu-Lapu, Sta. Cruz, Marinduque",Category: Level 2/Secondary,Contact No.: 321-1768
Torrijos Municipal Hospital,"Address: Rizal St., Poblacion, Marinduque",Category: Level 1/Primary,Contact No.: 311-1165
Dr. Damian Reyes Sr. Memorial Hospital,"Address: Brgy. Santol, Boac, Marinduque",Category: Level 2/Secondary,Contact Number: 042-3322490
Baggao Municipal Hospital,"Address: Barangay Road, Zone 3, Tallang, Baggao, Cagayan, Philippines 3506",Category: Level 1/Primary,Contact No.:
Vsu Hospital,"Address: VISCA, Baybay, Leyte",Category: Level 1/Primary,Contact Number: (053) 335-2607
Ballesteros District Hospital,"Address: Cabatuan West, Ballesteros, Cagayan, Philippines 3516",Category: Level 2/Secondary,Contact No.: none
Villaba Community Hospital,"Address: Suba, Villaba, Leyte",Category: Level 1/Primary,Contact Number: (053) 552-9063
Remedios Trinidad Romualdez Hospital,Address: Tacloban City,Category: Level 3/TertiaryContact Number: (053) 327-5004,
Cagayan Valley Medical Center,"Address: Maharlika Hiway Carig Sur, Tuguegarao, City,Cagayan, Philippines 3500",Category: Level 4/Specialty - DOH Hospital,Contact No.: (6344) 463-1609 • 463-4615 • 463-1607 • 463-2199 • 463-8986
Western Pangasinan District Hospital,Address: Poblacion Alaminos Pangasinan,Category:Level 2/Secondary,Contact No.75-5527129/5516408
Tacloban City Hospital,"Address: Tacloban City, LeyteCategory: Level 1/Primary",Contact Number: (053) 323-8254,
Divine Word Hospital,"Address: Tacloban City, Leyte",Category: Level 4/Specialty,Contact Number: (053) 321-2308
Pangasinan Provincial Hospital,Address: Bolinggit San Carlos City Pangasinan,Category:Level 3/Tertiary,Contact No.75-5322603
Bethany Hospital,Address: Tacloban City,Category: Level 4/Specialty,Contact Number: (053) 321-2427/325-6192
Dr. Tomas Nolasco Sr. Memorial Hospital,"Address: Centro Sur, Gattaran, Cagayan, Philippines 3508",Category: Level 1/Primary,Contact No.: 8524041
Region 1 Medical Center,Address:Arellano Bani Dagupan City Pangasinan,Category:Level 3/Tertiary,Contact No.75-5158916/5153815/5158910
Schistosomiasis Hospital,"Address: Palo, Leyte",Category: Level 1-Special / DOH Hospital,Contact Number: (053) 524-9247
Kananga Municipal Hospital,"Address: Kananga, Leyte",Category: Level 1/Primary,Contact Number: (053) 553-9125
Espinoza-Rosario Hospital,Address: Gomez Malasiqui PangasinanCategory:Level 1/Primary,Contact No. 5363108,
Ormoc Maternity & Children’s Hospital,Address: Ormoc CityCategory: Level 1/Primary,Contact Number: (053) 255-8714,
Gattaran Emergency Hospital,"Address: Calaoagan Dackel, Gattaran, Cagayan, Philippines",Category: Level 1/Primary,Contact No.:
"Leyte Baptist Hospital, Inc.","Address: Hilongos, Leyte",Category: Level 2/Secondary,Contact Number: (053) 567-9457
Villaflor’s Clinic,"Address: Hilongos, Leyte",Category: Level 1/Primary,Contact Number: (053) 336-2089
Mother Of Mercy Hospital,"Address: Tacloban City, Leyte",Category: Level 3/Tertiary,Contact Number: none
Center For Psychosocial Health Care,"Address: Tacloban City, Leyte",Contact Number: none,
Don Modesto Formilleza Sr. Memorial Hospital,"Address: Punta, Looc, Romblon",Category:,
Northern Samar Provincial Hosp.,"Address: Catarman, Northern Samar",Category: Level 2/Secondary,Contact Number: (055) 300-2057
Lasam District Hospital,"Address: Ignacio Jurado St., Centro, Lasam, Cagayan, Philippines 3524",Level 1/Primary,Contact No.:
Bañez Hospital,"Address: McArthur Highway, Carmen West RosalesCategory:Level 1/Primary",Contact No. 75-582-7314,
Matilde A. Olivas District Hospital,"Address: Maharlika Hiway, Gen. Batalla, Camalaniugan, Cagayan, Philippines",Category: Level 2/Secondary,Contact No.:
Allen District Hospital,"Address: Allen, Northern Samar",Category: Level 2/Secondary,Contact Number: none
Gamay District Hospital,"Address: Gamay, Northern Samar",Category: Level 1/Primary,Contact Number: none
Nuestra Sra. De Piat District Hospital,"Address: Provincial Road, Maguilling, Piat, Cagayan Philippines 3527",Contact No.:8444563,
Dr. Gregorio B. Tan Memorial Hospital,"Address: Laoang, Northern Samar",Category: Level 1/Primary,Contact Number: None
Catubig District Hospital,"Address: Catubig, Northern SamarCategory: Level 1/Primary",Contact Number: none,
San Antonio District Hospital,"Address: San Antonio, Northern SamarCategory: Level 1/Primary",Contact Number: none,
Capul District Hospital,"Address: Capul, Northern Samar",Category: Level 1/Primary,Contact Number: None
Mariveles Mental Hospital,"Address: P. Monroe St. Pob., Mariveles",Category: CPsych,"Contact No.: 9354612/4138, 9354617"
C and H Medical and Surgical Clinic,Address: Poblacion Alaminos Pangasinan,Category:Level 1/Primary,Contact No.75-551-5409
Biri District Hospital,"Address: Biri, Northern Samar",Category: Level 1/Primary,Contact Number: none
People's Emergency Hospital,"Address: Luna St. Tuguegarao City, Cagayan, Philippines 3500",Level 2/Secondary,contact No.: 8464226/8441337
Samar Provincial Hospital,"Address: Catbalogan, Samar",Category: Level 2/Secondary,Contact Number: (055) 251-6175
Del Carmen Medical Clinic and Hospital,Address: Carmen Rosales Pangasinan,Category:Level 1/Primary,Contact No.75-582-2416
Romblon District Hospital,"Address: Capaclan, Romblon, Romblon",Category: Level 2/Secondary,Contact Number: none
Romblon Provincial Hospital,"Address: M.L. Quezon St., Brgy. Liwanag, Odiongan",Category: Level 2/Secondary,Contact N
San Vicente District Hospital,"Address: San Vicente, Northern Samar",Category: Level 1/Primary,Contact Number: none
MAHESECO Multipurpose cooperative,"Address: Lakandula St., Poblacion, Mariveles",Category: Level 2/Secondary,Contact No.: 047-9354192/4003/6743
Isaac & Catalina Medical Center,"Address: Calero St., Ibayo, Balanga City",Category: Level 2/Secondary,Contact No.: 047-2371435; 2374003
Leoncio Uy Memorial Hospital,"Address: Catarman, Northern Samar",Category: Level 1/Primary,Contact Number: none
Sta. Ana Community Hospital,"Address: Centro, Sta. Ana. Cagayan, Philippines 3514",Category: Level 1/Primary,Contact No.: none
San Jose District Hospital,"Address: Sitio Inobahan, San Jose, Romblon",Category: Level 1/Primary,Contact No.
Basey District Hospital,"Address: Basey, Samar",Category: Level 1/Primary,Contact Number: (055) 276-1071
Bataan Provincial Hospital,"Address: Manahan St. Tenejero, Balanga City",Category: Level 3/Tertiary,Contact No.: 047-2372269/3635; 7915959/2857
Gandara District Hospital,"Address: Gandara, Samar",Category: Level 1/Primary,Contact Number: none
Sibuyan District Hospital,"Address: Sta. Barbara St., Cajidiocan, Romblon",Category: Level 1/Primary,Contact No.: 0918-4137121
Calbayog District Hospital,"Address: Calbayog City, Samar",Category: Level 1/Primary,Contact Number: (055) 209-3929
Orani District Hospital,"Address: Lourdes Street, Ma. Fe Subd., Orani",Category: Level 2/Secondary,Contact No.: 047-4312827
Tuao District Hospital,"Address: Bulagao, Tuao, Cagayan, Philippines 3528",Level 1/Primary,Contact No.:
Camp Lukban Station Hospital,"Address: Catbalogan, Samar",Category: Level 1/Primary,Contact Number: (055) 251-2199
Tarangnan Community Hospital,"Address: Catbalogan, Samar",Category: Level 1/Primary,Contact Number: none
Lopez Family Clinic and Hospital,Address: Jacson St. Mangatarem Pangasinan,Category:Level 1/Primary,Contact No.75-546-0337
San Andres Municipal Hospital,"Address: San Andres, Romblon",Category: Level 1/Primary,Contact No.: 0919-2460850
Charles W. Selby Memorial Hospital Inc. (Formerly Aparri Christian Hospital),"Address: Diego Silang St., Centro, Aparri, Cagayan, Philippines 3515",Level 2/Secondary,Contact No.: 8228267 Fax: 8882447
Bataan Peninsula Medical Center,"Address: San Ramon, Dinalupihan",Category: Level 2/Secondary,Contact No.: None
St. Camillus Hospital,"Address: Calbayog City, Samar",Category: Level 2/Secondary,Contact Number: (055) 209-3289
Our Lady Of Porziuncola Hospital Inc.,"Address: CKC Compound, cor. Magsaysay Blvd. & Rueda St. Calbayog City, Samar",Category: Level 3/Tertiary,Contact Number: (055) 209-3721
Tablas Island District Hospital,"Address: Poblacion, San Agustin, Romblon",Category: Level 1/Primary,Contact No.: 0921-4474695
Calbayog Sanitarium and Hospital,"Address: National Highway, Brgy. Natividad, Calbayog City, Samar",Category: Level 2/Secondary,Contact Number: (055) 533-8767
Asanias Polyclinic,"Address: Denus St. Centro 2, Sanchez Mira, Cagayan, Philippines 3518",Contact no.: 8229212,
Malipayon District Hospital,"Address: Poblacion, Corcuerra, Romblon",Category: Level 1/Primary,Contact No.: 0915-7956964
Orion St. Michael Hospital,"Address: J.P. Rizal St., Wakas, Orion",Category: Level 2/Secondary,Contact No.: 047-2447331
Salvacion Oppus Yñiguez Mem'l Prov. Hospital,"Address: Maasin City, Southern Leyte",Category: Level 3/Tertiary,Contact Number: (053) 570-8604
Ballesteros Maternity & Lying-In Clinic,"Washington St. Centro East, Ballesteros, Cagayan, Philippines 3516",Level 1/Primary,Contact no.: 0920-9501353
Ordoñez Adult and Children's Clinic,"Address: National Road, Pugaro Balungao Pangasinan",Category:Level 1/ Primary,Contact No.75-583-2176
Anahawan District Hospital,"Address: Anahawan, Southern Leyte",Category: Level 2/Secondary,Contact Number: (053) 581-0093
Aborlan Medicare Hospital,"Address: Poblacion, Aborlan, Palawan",Category: Level 1/Primary,
Ordoñez Medical Hospital,Address: Zone V Poblacion Villasis Pangasinan,Category:Level 1/Primary,Contact No.75-564-4082
Sogod District Hospital,"Address: Sogod, Southern Leyte",Category: Level 2/Secondary,Contact Number: (053) 382-2118
Southern Palawan Provincial Hospital,"Address: Brgy. Pangobilian, Brooke's Point, Palawan",Category: Level 2/Secondary,Contact Number: none
"Clinica de Leon, Inc.","Address: Bonifacio St., Brgy. Centro 1, Tuguegarao City, Cagayan, Philippines 3500",Category: Level 2/Secondary,Contact No.: 8441608/8440013
Pintuyan District Hospital,"Address: Pintuyan, Southern Leyte",Category: Level 1/Primary,Contact Number: (053) 587-2035
Rillera Medical Hospital,"Address: Arosan St., Germinal Bolinao Pangasinan",Category:Level 1/Primary,Contact no.75-554-2549
Liloan Community Hospital,"Address: Liloan, Southern Leyte",Category: Level 1/Primary,Contact Number: none
Hinunangan Community Hospital,"Address: Hinunangan, Southern Leyte",Category: Level 1/Primary,Contact Number: none
Zenon T. Lagumbay Memorial Hosp.,"Address: Hinunangan, Southern Leyte",Category: Level 1/Primary,Contact Number: 09074227731
Camp General Artemio Ricarte Station Hospital,"Address: Wescom Road, HOS Western Command, AFP, Puerto Princesa City, Palawan",Category: Level 2/Secondary,Contact No.: 4332411 loc. 3121
St. Vincent Medical Clinic,"Address: Hinundayan, Southern Leyte",Category: Level 1/Primary,Contact Number: none
Dr. Ronald P. Guzman Medical Center,"Address: Caggay, Tuguegarao, City, Cagayan, Philippines 3500",Category: Level 3/Tertiary,Contact no.:
Bataan Doctor's Hospital & Medical Center,"Address: Cauderno St. Doña Francisca Subd., Balanga City",Category: Level 2/Secondary,Contact No.: 047-2372050; 2370307
Padre Burgos Community Hospital,"Address: Padre Burgos, Southern Leyte",Category: Level 1-Special,Contact Number: (055) 573-0035
Rosario-Triño Medical Clinic,"Address: Poblacion Labrador, Pangasinan",Category:Level 1/Primary,Contact No.0919-868-5313
Saballa-Rosario Hospital,Address: Poblacion Binalonan PangasinanCategory:Level 1/Primary,Contact Number:075-5624375,
Corrompido Specialty Hospital,"Address: Regis St. Sogod, Southern Leyte",Category: Level 1/Primary,Contact Number: (053) 382-2805
St. Thomas Aquinas Hospital,"Address: Sta. Fe Subdivision, Poblacion Binalonan Pangasinan",Category:Level 1/Primary,Contact No.562-2414
Consuelo K. Tan Memorial Medical Center,"Address: Sogod, Southern LeyteCategory: Level 2/Secondary",Contact Number: (053) 382-2036,
Pudpud Polyclinic & Specialty Hospital,"Address: Sogod, Southern Leyte",Category: Level 1-Special,Contact Number: (053) 577-0116
Sto Niño de Casipit General Hospital,Address: Avenida Rizal St. Lingayen Pangasinan,Category:Level 1/Primary,Contact No. (075) 542-6116
Urduja General Hospital,"Address: Gov. Antonio M. Sison St., Poblacion Lingayen Pangasinan",Category:Level 1/Primary,Contact No.75-542-2946
Gonzaga Community Clinic,"Address: Brgy. Paradise, Gonzga, Cagayan, Philippines Gonzaga 3513",Level 1/Primary,Contact no.: 8655631
Jose C. Payumo Jr. Memorial Hospital,"Address: San Ramon, Dinalupihan",Category: Level 2/Secondary,Contact No.: 047-4811724; 4811536
Velasquez Medical Clinic and Hospital,Address:3 Mabini St.Mangatarem Pangasinan,Category:Level 1/Primary,Contact No.75-546-8063
Holy Infant Hospital,"Address: 54 Washington St.,Brgy Centro 4, Tuguegaroa City, Philippines 3500",Level 2/S,Contact No.: (078) 844-1039
Coron District Hospital,"Address: National Highway, Brgy. 5, Poblacion, Coron, Palawan",Category: Level 2/Secondary,
Bagac Community & Medicare Hospital,"Address: Brgy. A Ricardo, Bagac",Category: Level 1/Primary,Contact No.: 0917-8662868
Zaratan-Jimenez Clinic and Hospital,Address: Gallego Aguilar Pangasinan,Category: Level 1/Primary,Contact No.75-549-2043
Puyaoan General Hospital,"Address: National Hiway, Bulala, Camalaniugan, Cagayan, Philippines 3510",Level 1/Primary,Contact No.: 8542013
Cuyo District Hospital,"Address: Catadman, Cuyo, Palawan",Category: Level 1/Primary,
Alaminos City Doctors Hospital,Address: Bolaney Alaminos City Pangasinan,Category:Level 2/Secondary,Contact No.(075) 551 5427
Fr. Gerry Filippetto Memorial Foundation Hospital,"Address: Sta. Cruz, Sta. Ana, Cagayan, Philippines 3514",Contact No.: 0919-6716858,
"Cuison Hospital, Incorporated",Address: Burgos St.Dagupan City Pangasinan,Category:Level 2/Secondary,Contact No.063(75) 522-1075
Narra Municipal Hospital,"Address: Brgy. Antipuluan, Narra, Palawan",Category: Level 1/Primary,
St. Paul Medical Center of the Philippines,"Address: Ugac Highway, Tuguegarao City, Cagayan, Philippines 3500",Category: Level 3/Tertiary,Contact No.: (078)8442520 / 8442578
Bataan Women's Hospital,"Address: Sampaguita St., St. Joseph Subd., Balanga City",Category: Level 2/Secondary,Contact No.: 047-2374428; 2371111
Quezon Medicare Hospital,"Address: National Highway, Alfonso XIII, Quezon, Palawan",Category: Level 1/Primary,
Camp Melchor dela Cruz Hospital,"Address: Maharlika Hiway,Upi, Gamu, Isabela, Philippines 3301",Category: Level 2/Seconda,Contact No.: 6722187
Roxas Medicare Hospital,"Address:New Barbacan, Bgy. Retac, Roxas Palawan",Category: Level 1/Primary,Contact Number: none
Dagupan Orthopedic Center,"Address: McArthur Highway, Tapuac District Dagupan City Pangasinan",Category: Level 2/Secondary,"Contact No.063(75) 522-0312, 515-4620"
Cauayan District Hospital,"Address: Rose Marie Reyes St.,Cauayan City, Isabela, Philippines 3305",Category: Level 2/Secondary,Contact No.: 6428035
Northern Palawan Provincial Hospital,"Address: Poblacion, Taytay, Palawan",Category: Level 1/Primary,
Decena Medical Clinic,Address: Bonuan Gueset Dagupan CityCategory:Level 1/Primary,Contact No.075-522-2763,
Vice Governor Francisco Ponce de Leon Memorial Hospital,"Address: Brgy Danleg, Dumaran, Palawan",Category: Level 1/ Primary,Contact No.none
Echague District Hospital,"Address: Ipil, Echague, Isabela Philippines 3309",Category:Level 2/Secondary,Contact No.: 6363139
Divine Mercy Foundation of Urdaneta Hospital,"Address: 25 High School Drive, San Vicente West Urdaneta City Pangasinan",Category:Level 2/Secondary,Contact No.(075) 568 3407
Ospital ng Palawan,"Address: 220 Malvar St., Brgy. San Miguel, Puerto Princesa City, Palawan",Category: Level 2/Secondary,Contact No.: (048) 434-6864 (TF); 433-2721; 433-2981; 433-2982; 434-6199
Gov.Faustino N. Dy Sr. Memorial Hospital,"Address: Calamagui 2nd, Ilagan, Isabela 3300",Category: Level 2/Secondary,Contact No.: (078) 824-2018/652-1100/ 6223471 fax
Prospero G. Bello Integrated Community Hospital,"Address: Jones, Isabela, Philippines 3313",Contact No.:,
"Dr. Marcelo M. Chan Memorial Hospital, Inc.",Address: Carmen West Rosales PangasinanCategory:Level 1/Primary,Contact No.75-564-3815,
Dingalan Community Hospital,"Address: Dingalan, Aurora, Philippines",Category:Level 1/Primary,Contact No.: 042-2094211
Cuartero General Hospital,"Address: Tandag, Surigao del Sur",Category: Level 1/Primary,Contact Number: (086) 211-3281
"Primiere General Hospital of Nueva Ecija, Inc.","Address: Brgy. Sukalayin, Baler, Aurora, Philippines",Category: Level 3/Tertiary,Contact No.: 0918-9059377
Francisco General Hospital,"Address: 211 McArthur Highway, Nancayasan Urdaneta City Pangasinan",Category:Level 2/Secondary,Contact No.75-656-2808
Manuel A. Roxas District Hospital,"Address: National Hiway,San Antonio, Roxas, Isabela, 3320",Category: Level 2/Secondary,Contact No.: (078) 6428035
Culion Sanitarium,"Address: Brgy, Tiza, Culion, Palawan",Category: DOH Hospital,Contact No.: (048) 433-7743
Children's Medical Clinic,"Address: Bonbon, Calapan City, Oriental Mindoro",Category: Level 1 - Special,Contact No.: 043-2873062/2881585
Elvin U. Masigan Integrated Memorial Hospital,"Address: Bliss Site, Sta. Maria, Isabela 3330",Category: Level 1/Primary,Contact No.: none
Sto. Rosarion Maternity & Medical Clinic,"Address: No. 3 Rizal St., Sta. Isabel, Dinalupihan, Bataan, Philippines",Category: Level 1/Primary,Contact No.: 047-481105
Milagros District Hospital,"Address: Maharlika Hiway, Ngarag, Cabagan, Isabela 3328",Category: Level 2/Secondary,Contact No.: (078) 6242018
Palanan Station Hospital,"Address: Centro West, Palanan, Isabela 3334",Category: Level 1/Primary,Contact No.: none
Bataan St. Joseph Hospital,"Address: Don Manuel Banzon Ave. Brgy. Doña Francisca, Balanga City",Category: Level 3/Tertiary,Contact No.: 047-2372009/3009/0226 Loc. 128
Quezon Community Infirmary,"Address: Arellano, Quezon, Isabela 3324",Category: Level 1/Primary,Contact No.: none
JVF Clinic and Lying-In Memorial Hospital,Address: Zamora corner Rivera Sts. Dagupan City PangasinanCategory:Level 2/Secondary,Contact No.075-5223656; Telefax5226301,
Our Lady of Purification Doctors Hospital,Address: Poblacion Binmaley Pangasinan Category:Level 2/Secondary,Contact No.075-5433408,
Rugay Maternity & General Hospital,"Address: M. Cruz St. Carpa Vil., Sabang, Baliuag, Bulacan, Philippines",Category: Level 2/Secondary,Contact No.: 044-766347; 7664629
Southern Isabela General Hospital,"Address: Zamora St.,Rosario, Santiago City, Isabela 3311",Category: Level 2/Secondary - DOH Hospital,Contact No.: (078) 6828123/6827687
"Señor Sto. Niño Hospital, Inc.","Address: J. Luna St., Polbacion Sur Bayambang PangasinanCategory:Level 2/Secondary",Contact No.075-5922290/ 5925456 fax,
Tayug Family Hospital,Address:1058 Magsaysay St. Tayug PangasinanCategory:Level 2/Secondary,Contact No:075-5722241; 5722960,
Baliuag District Hospital,"Address: Carpa Village, Sabang, Baliuag, Bulacan Philippines",Category: Level 2/Secondary,Contact No.: 044-7662364
"Villasis Polymedic Hospital and Trauma Center, Inc.","Address:808 McArthur Highway, Poblacion Villasis Pangsinan Category:Level 2/Secondary",Contact No:075-5643888/3238,
Delfin Albano Community Hospital,"Address: Delfin Albano, Isabela 3326",Category: Level 1/Primary,Contact No.: none
Blessed Family Doctors General Hospital,Address: Ilang San Carlos City Pangasinan,Category:Level 3/Tertiary,Contact No.075-5312196
