Hospital_Names,Addresses,Category,Contact_Info
Basey District Hospital,"Basey, Samar",Level 1/Primary,(055) 276-1071
Bataan Provincial Hospital,"Manahan St. Tenejero, Balanga City",Level 3/Tertiary,047-2372269/3635; 7915959/2857
Gandara District Hospital,"Gandara, Samar",Level 1/Primary,
Sibuyan District Hospital,"Sta. Barbara St., Cajidiocan, Romblon",Level 1/Primary,0918-4137121
Calbayog District Hospital,"Calbayog City, Samar",Level 1/Primary,(055) 209-3929
Orani District Hospital,"Lourdes Street, Ma. Fe Subd., Orani",Level 2/Secondary,047-4312827
Tuao District Hospital,"Bulagao, Tuao, Cagayan, Philippines 3528",Level 1/Primary,
Camp Lukban Station Hospital,"Catbalogan, Samar",Level 1/Primary,(055) 251-2199
Tarangnan Community Hospital,"Catbalogan, Samar",Level 1/Primary,
Lopez Family Clinic and Hospital,Jacson St. Mangatarem Pangasinan,Level 1/Primary,75-546-0337
San Andres Municipal Hospital,"San Andres, Romblon",Level 1/Primary,0919-2460850
Charles W. Selby Memorial Hospital Inc. (Formerly Aparri Christian Hospital),"Diego Silang St., Centro, Aparri, Cagayan, Philippines 3515",Level 2/Secondary,8882447
Bataan Peninsula Medical Center,"San Ramon, Dinalupihan",Level 2/Secondary,
St. Camillus Hospital,"Calbayog City, Samar",Level 2/Secondary,(055) 209-3289
Our Lady Of Porziuncola Hospital Inc.,"CKC Compound, cor. Magsaysay Blvd. & Rueda St. Calbayog City, Samar",Level 3/Tertiary,(055) 209-3721
Tablas Island District Hospital,"Poblacion, San Agustin, Romblon",Level 1/Primary,0921-4474695
Calbayog Sanitarium and Hospital,"National Highway, Brgy. Natividad, Calbayog City, Samar",Level 2/Secondary,(055) 533-8767
Asanias Polyclinic,"Denus St. Centro 2, Sanchez Mira, Cagayan, Philippines 3518",,8229212
Malipayon District Hospital,"Poblacion, Corcuerra, Romblon",Level 1/Primary,0915-7956964
Orion St. Michael Hospital,"J.P. Rizal St., Wakas, Orion",Level 2/Secondary,047-2447331
Salvacion Oppus Yñiguez Mem'l Prov. Hospital,"Maasin City, Southern Leyte",Level 3/Tertiary,(053) 570-8604
Ballesteros Maternity & Lying-In Clinic,"Washington St. Centro East, Ballesteros, Cagayan, Philippines 3516",Level 1/Primary,0920-9501353
Ordoñez Adult and Children's Clinic,"National Road, Pugaro Balungao Pangasinan",Level 1/ Primary,75-583-2176
Anahawan District Hospital,"Anahawan, Southern Leyte",Level 2/Secondary,(053) 581-0093
Aborlan Medicare Hospital,"Poblacion, Aborlan, Palawan",Level 1/Primary,
Ordoñez Medical Hospital,Zone V Poblacion Villasis Pangasinan,Level 1/Primary,75-564-4082
Sogod District Hospital,"Sogod, Southern Leyte",Level 2/Secondary,(053) 382-2118
Southern Palawan Provincial Hospital,"Brgy. Pangobilian, Brooke's Point, Palawan",Level 2/Secondary,
"Clinica de Leon, Inc.","Bonifacio St., Brgy. Centro 1, Tuguegarao City, Cagayan, Philippines 3500",Level 2/Secondary,8441608/8440013
Pintuyan District Hospital,"Pintuyan, Southern Leyte",Level 1/Primary,(053) 587-2035
Rillera Medical Hospital,"Arosan St., Germinal Bolinao Pangasinan",Level 1/Primary,75-554-2549
Liloan Community Hospital,"Liloan, Southern Leyte",Level 1/Primary,
Hinunangan Community Hospital,"Hinunangan, Southern Leyte",Level 1/Primary,
Zenon T. Lagumbay Memorial Hosp.,"Hinunangan, Southern Leyte",Level 1/Primary,09074227731
Camp General Artemio Ricarte Station Hospital,"Wescom Road, HOS Western Command, AFP, Puerto Princesa City, Palawan",Level 2/Secondary,
St. Vincent Medical Clinic,"Hinundayan, Southern Leyte",Level 1/Primary,
Dr. Ronald P. Guzman Medical Center,"Caggay, Tuguegarao, City, Cagayan, Philippines 3500",Level 3/Tertiary,
Bataan Doctor's Hospital & Medical Center,"Cauderno St. Doña Francisca Subd., Balanga City",Level 2/Secondary,047-2372050; 2370307
Padre Burgos Community Hospital,"Padre Burgos, Southern Leyte",Level 1-Special,(055) 573-0035
Rosario-Triño Medical Clinic,"Poblacion Labrador, Pangasinan",Level 1/Primary,0919-868-5313
Saballa-Rosario Hospital,,Level 1/Primary,075-5624375
Corrompido Specialty Hospital,"Regis St. Sogod, Southern Leyte",Level 1/Primary,(053) 382-2805
St. Thomas Aquinas Hospital,"Sta. Fe Subdivision, Poblacion Binalonan Pangasinan",Level 1/Primary,562-2414
Consuelo K. Tan Memorial Medical Center,,Level 2/Secondary,(053) 382-2036
Pudpud Polyclinic & Specialty Hospital,"Sogod, Southern Leyte",Level 1-Special,(053) 577-0116
Sto Niño de Casipit General Hospital,Avenida Rizal St. Lingayen Pangasinan,Level 1/Primary,(075) 542-6116
Urduja General Hospital,"Gov. Antonio M. Sison St., Poblacion Lingayen Pangasinan",Level 1/Primary,75-542-2946
Gonzaga Community Clinic,"Brgy. Paradise, Gonzga, Cagayan, Philippines Gonzaga 3513",Level 1/Primary,8655631
Jose C. Payumo Jr. Memorial Hospital,"San Ramon, Dinalupihan",Level 2/Secondary,047-4811724; 4811536
Velasquez Medical Clinic and Hospital,3 Mabini St.Mangatarem Pangasinan,Level 1/Primary,75-546-8063
Holy Infant Hospital,"54 Washington St.,Brgy Centro 4, Tuguegaroa City, Philippines 3500",Level 2/S,(078) 844-1039
Coron District Hospital,"National Highway, Brgy. 5, Poblacion, Coron, Palawan",Level 2/Secondary,
Bagac Community & Medicare Hospital,"Brgy. A Ricardo, Bagac",Level 1/Primary,0917-8662868
Zaratan-Jimenez Clinic and Hospital,Gallego Aguilar Pangasinan,Level 1/Primary,75-549-2043
Puyaoan General Hospital,"National Hiway, Bulala, Camalaniugan, Cagayan, Philippines 3510",Level 1/Primary,8542013
Cuyo District Hospital,"Catadman, Cuyo, Palawan",Level 1/Primary,
Alaminos City Doctors Hospital,Bolaney Alaminos City Pangasinan,Level 2/Secondary,(075) 551 5427
Fr. Gerry Filippetto Memorial Foundation Hospital,"Sta. Cruz, Sta. Ana, Cagayan, Philippines 3514",,0919-6716858
"Cuison Hospital, Incorporated",Burgos St.Dagupan City Pangasinan,Level 2/Secondary,063(75) 522-1075
Narra Municipal Hospital,"Brgy. Antipuluan, Narra, Palawan",Level 1/Primary,
St. Paul Medical Center of the Philippines,"Ugac Highway, Tuguegarao City, Cagayan, Philippines 3500",Level 3/Tertiary,(078)8442520 / 8442578
Bataan Women's Hospital,"Sampaguita St., St. Joseph Subd., Balanga City",Level 2/Secondary,047-2374428; 2371111
Quezon Medicare Hospital,"National Highway, Alfonso XIII, Quezon, Palawan",Level 1/Primary,
Camp Melchor dela Cruz Hospital,"Maharlika Hiway,Upi, Gamu, Isabela, Philippines 3301",Level 2/Seconda,6722187
Roxas Medicare Hospital,"New Barbacan, Bgy. Retac, Roxas Palawan",Level 1/Primary,
Dagupan Orthopedic Center,"McArthur Highway, Tapuac District Dagupan City Pangasinan",Level 2/Secondary,"063(75) 522-0312, 515-4620"
Cauayan District Hospital,"Rose Marie Reyes St.,Cauayan City, Isabela, Philippines 3305",Level 2/Secondary,6428035
Northern Palawan Provincial Hospital,"Poblacion, Taytay, Palawan",Level 1/Primary,
Decena Medical Clinic,,Level 1/Primary,Contact No.075-522-2763
Vice Governor Francisco Ponce de Leon Memorial Hospital,"Brgy Danleg, Dumaran, Palawan",Level 1/ Primary,
Echague District Hospital,"Ipil, Echague, Isabela Philippines 3309",Level 2/Secondary,6363139
Divine Mercy Foundation of Urdaneta Hospital,"25 High School Drive, San Vicente West Urdaneta City Pangasinan",Level 2/Secondary,(075) 568 3407
Ospital ng Palawan,"220 Malvar St., Brgy. San Miguel, Puerto Princesa City, Palawan",Level 2/Secondary,(048) 434-6864 (tf); 433-2721; 433-2981; 433-2982; 434-6199
Gov.Faustino N. Dy Sr. Memorial Hospital,"Calamagui 2nd, Ilagan, Isabela 3300",Level 2/Secondary,(078) 824-2018/652-1100/ 6223471 fax
Prospero G. Bello Integrated Community Hospital,"Jones, Isabela, Philippines 3313",,
"Dr. Marcelo M. Chan Memorial Hospital, Inc.",,Level 1/Primary,Contact No.75-564-3815
Dingalan Community Hospital,"Dingalan, Aurora, Philippines",Level 1/Primary,042-2094211
Cuartero General Hospital,"Tandag, Surigao del Sur",Level 1/Primary,(086) 211-3281
"Primiere General Hospital of Nueva Ecija, Inc.","Brgy. Sukalayin, Baler, Aurora, Philippines",Level 3/Tertiary,0918-9059377
Francisco General Hospital,"211 McArthur Highway, Nancayasan Urdaneta City Pangasinan",Level 2/Secondary,75-656-2808
Manuel A. Roxas District Hospital,"National Hiway,San Antonio, Roxas, Isabela, 3320",Level 2/Secondary,(078) 6428035
Culion Sanitarium,"Brgy, Tiza, Culion, Palawan",DOH Hospital,(048) 433-7743
Children's Medical Clinic,"Bonbon, Calapan City, Oriental Mindoro",Level 1 - Special,043-2873062/2881585
Elvin U. Masigan Integrated Memorial Hospital,"Bliss Site, Sta. Maria, Isabela 3330",Level 1/Primary,
Sto. Rosarion Maternity & Medical Clinic,"No. 3 Rizal St., Sta. Isabel, Dinalupihan, Bataan, Philippines",Level 1/Primary,047-481105
Milagros District Hospital,"Maharlika Hiway, Ngarag, Cabagan, Isabela 3328",Level 2/Secondary,(078) 6242018
Palanan Station Hospital,"Centro West, Palanan, Isabela 3334",Level 1/Primary,
Bataan St. Joseph Hospital,"Don Manuel Banzon Ave. Brgy. Doña Francisca, Balanga City",Level 3/Tertiary,
Quezon Community Infirmary,"Arellano, Quezon, Isabela 3324",Level 1/Primary,
JVF Clinic and Lying-In Memorial Hospital,,Level 2/Secondary,Contact No.075-5223656; Telefax5226301
Our Lady of Purification Doctors Hospital,,Level 2/Secondary,Contact No.075-5433408
Rugay Maternity & General Hospital,"M. Cruz St. Carpa Vil., Sabang, Baliuag, Bulacan, Philippines",Level 2/Secondary,044-766347; 7664629
Southern Isabela General Hospital,"Zamora St.,Rosario, Santiago City, Isabela 3311",Level 2/Secondary - DOH Hospital,(078) 6828123/6827687
"Señor Sto. Niño Hospital, Inc.",,Level 2/Secondary,Contact No.075-5922290/ 5925456 fax
Tayug Family Hospital,,Level 2/Secondary,075-5722241; 5722960
Baliuag District Hospital,"Carpa Village, Sabang, Baliuag, Bulacan Philippines",Level 2/Secondary,044-7662364
"Villasis Polymedic Hospital and Trauma Center, Inc.",,Level 2/Secondary,075-5643888/3238
Delfin Albano Community Hospital,"Delfin Albano, Isabela 3326",Level 1/Primary,
Blessed Family Doctors General Hospital,Ilang San Carlos City Pangasinan,Level 3/Tertiary,075-5312196
St. Vincent EENT Hospital,"Sto. Niño Street, Poblacion, Bustos, Bulacan, Philippines",Level 2/Secondary,044-9030076
"Dagupan Doctors Villaflor Memorial Hospital, Inc.","Mayombo District, Dagupan City, Pangasinan",Level 3/Tertiary,075-5157440 / 5220811 fax
Tumauini District Hospital,"Maharlika Hiway, Tumauini, Isabela 3325",Level 1/Primary,6324222
"Dagupan Doctors Villaflor Memorial Hospital, Inc.","McArthur Highway, Mayombo District, Dagupan City Pangasinan",level 3/tertiary,
Elguira General Hospital,Rizal Avenue San Carlos Pangasinan,Level 3/Tertiary,075-5324481 5323586 fax
Jesus Nazarene General Hospital,Solis St. Lingayen Pangasinan,Level 3/Tertiary,075-5425752
Bagtilay Adult Specialty Clinic and Hospital,"95 Ramos West,San Isidro, Isabela",Level 1/Primary,0917-5742562
"Luzon Medical Center, Inc.","329 McArthur Highway, Tapuac, Pangasinan",level 3/tertiary,
Medical Centrum Dagupan,"A.B. Fernandez Avenue East, Dagupan City Pangasinan",level 3/tertiary,
"Nazareth General Hospital, Inc.",203 Perez Boulevard Dagupan City Pangasinan,Level 3/Tertiary,075-5220044
BBCSS Pediatric Medical & Surgical Clinic,"Quezon St.Bargy 2,San Mateo, Isabela 3318",Level 1/Primary,09282711533
Pangasinan Center for Family Medicine Hospital,"Amado St., Tapuac District Dagupan City, Pangasinan",Level 3/Tertiary,(075)5227028/5220994/5156160
Castro Maternity Hospital,"M. Ponce Street, Tibag, Baliuag, Bulacan, Philippines",Level 2/Secondary,044-7661462/6026
Bucag's General Hospital,"66 Don Jose Canciller Ave.,Centro,Cauayan City, Isabela 3305",Level 2/Secondary,0786522350
"Our Lady of Mercy General Hospital, Co.","Longos, Pulilan, Bulacan, Philippines",Level 3/Tertiary,044-6762774/2883
Pangasinan Doctors Hospital,"Rizal Avenue San Carlos City, Pangasinan",level 3/tertiary,
Cabatuan Family Clinic and Hospital,"Centro,Cabatuan, Isabela 3515",Level 2/Secondary,6648108
"Pangasinan Medical Center, Inc.",Nable St. Dagupan City Pangasinan,Level 3/Tertiary,075-5230429/5222255 5230429 fax
Specialist Group Hospital and Trauma Center,"Tapuac District Dagupan City, Pangasinan",level 3/tertiary,
Urdaneta Sacred Heart Hospital,"San Vicente Central, Urdaneta City,, Pangasinan",level 3/tertiary,
Virgen Milagrosa Medical Center,1 Martin P. Posadas Avenue,Level 3/Tertiary,075-5322380/6342692
"De Vera's Medical Center, Inc.","Callao East,Santiago City, Isabela 3311",Level 3/Tertiary,078-6828182
St. Michael Family Hospital,"C. Santiago St., Pob. 2, Marilao",Level 2/Secondary,046-4771757
"Cagayan Valley Adventist Hospital, Inc.","Maharlika Highway,Mabini,Santiago City, Isabela 3311",Level 3/Tertiary,078-6828486
Caba Medicare Community Hospital,Caba La Union,Level 1/Primary,72-7080298
"Mateo's Diagnostic Clinic & General Hospital, Inc.","60 Gov. F. Halili Avenue, Bagbaguin, Sta. Maria, Bulacan, Philiuppines",Level 2/ Secondary,044-6412581
Callang General Hospital and Medical Center,"Judeg Taguinod St., Centro East, Santiago City, Isabela 3311",Level 3/Tertiary,078-6828189
Dr. Adolfo O. Flores Memorial Hospital,"Abauag St.,Villasis, Santiago City, Isabela 3511",Level 2/Secondary,078-6828291/8523
Bacnotan District Hospital,Poblacion Bacnotan La Union,Level 2/Secondary,72-7190059
Naguilian District Hospital,Natividad Naguilian La Union,Level 2/Secondary,72-6091018
Cauayan Medical Specialists Hospital,"Burgos Street Centro, Cauayan, isabela Philippines 3305",Level 2/Secondary,078-6521401/6345184
Northern La Union Maternity and Children's Hospital,Balaoan La Union,Level 2/Secondary,0920-9509537 / 072-6030280
Rosario District Hospital,Concepcion Rosario La Union,Level 2/Secondary,72-7121045
Ilocos Training and Regional Medical Center,Parian San Fernando City La Union,Level 3/Tertiary - DOH Hospital,72-8883671/72-2421143
Lide Pasar Hospital,"Isabel, Leyte",Level 2/Secondary,(053) 337-6136
La Union Medical Center,Nazareno Agoo La Union,Level 3/Tertiary,72-7101698
Agoo Medical Clinic,138 Consolacion Agoo La Union,Level 2/Secondary,072-7100893/7100480
Cauayan Family Hospital,"Prenza, Cauayan City, Isabela 3305",Level 1/Primary,078-6523399
St. Catherine Hospital,# 1 Central West Bangar La Union,Level 1-Special,0929-7482052
San Roque Hospital,"4 Guareno Street, Liang, Malolos City, Bulacan, Philippines",level 2/secondary,
Agoo Family Hospital,San Pedro Agoo La Union,Level 2/Secondary,072-7100893/7100480
Cicosat Hospital,Lingsat San Fernando City La Union,Level 2/Secondary,072-8887385
Corado Medical Clinic and Hospital,"Tandang Sora St.,Victory Norte,Santiago City, Isabela 3311",Level 1/Primary,078-6822336
"Bethany Hospital, Inc.","Widdoes St., Brgy. 2, San Fernando City La Union",level 3/tertiary,
La Union Medical Diagnostic Center and Hospital,Ancheta St. cor. Bucaneg St.San Fernando City La Union,Level 3/Tertiary,072-2424796/2422275
Lorma Medical Center,Carlatan San Fernando City La Union,Level 4/Specialty Hospital,072-7000000/072-2423621 fax
Corado Medical Clinic and Hospital,"Tandang Sora St.,Victory Norte,Santiago City, Isabela 3311",Level,
Magsingal District Hospital,Sta. MonicaMagsingal Ilocos Sur,Level 1/Primary,77-7263514
Dayos-Pascual Medical Clinic,"Rang-ayan, Roxas, Isabela 3320",Level 1/Primary,078-6428321
Salcedo Medicare Community Hospital,Poblacion Sur Salcedo La Union,Level 1/Primary,0917-6061578 / 0928-3784689
Sinait District Hospital,National Highway Sinait Ilocos Sur,Level 1/Primary,77-7288094
Bessang Pass Memorial Hospital,National Road Cervantes Ilocos Sur,Level 2/Secondary,0920-4733881
Central Ilocos Sur District Hospital,Paratong Narvacan Ilocos Sur,Level 2/Secondary,77-7326756 / 77-7325756
City of Candon Hospital,San Nicolas Candon City,Level 2/Secondary,77-7425675
Demano's Medical & Pediatric Clinic,"Bonifacio St.,Centro, Ramon, Isabela 3319",Level 1/Primary,078-8592080
